cumulative_sum,alpha,method
36.677881889682716,0.0,IG
78.7882036767515,0.002,IG
35.2707130258481,0.004,IG
29.325354331811823,0.006,IG
157.34363227439786,0.008,IG
189.69048365471218,0.01,IG
200.78351453258395,0.012,IG
201.04564285096785,0.014,IG
194.2417566545278,0.016,IG
196.97811810784566,0.018000000000000002,IG
204.18580737318464,0.02,IG
217.60898428238602,0.022,IG
240.94493137670776,0.024,IG
254.21505085773217,0.026000000000000002,IG
255.84638094471495,0.028,IG
257.8540312535568,0.03,IG
254.9480058353425,0.032,IG
247.51162751213323,0.034,IG
239.16643489151872,0.036000000000000004,IG
231.27009363260237,0.038,IG
225.0406248880006,0.04,IG
219.5442877986791,0.042,IG
213.3220247094028,0.044,IG
208.3370963344833,0.046,IG
202.91659453305604,0.048,IG
198.02264653152747,0.05,IG
193.04854289923642,0.052000000000000005,IG
187.36394376292913,0.054,IG
182.2377263466567,0.056,IG
177.23840361795789,0.058,IG
172.85073845924492,0.06,IG
168.2346114073683,0.062,IG
164.16584144162974,0.064,IG
159.50275578815555,0.066,IG
155.1855124576595,0.068,IG
151.10735231115248,0.07,IG
147.399536070157,0.07200000000000001,IG
143.8025647917567,0.074,IG
140.7633216651212,0.076,IG
137.86183062484164,0.078,IG
134.7483287749507,0.08,IG
131.9524405828532,0.082,IG
129.55444415452553,0.084,IG
127.2346220399927,0.08600000000000001,IG
124.90803556686241,0.088,IG
122.38912485978476,0.09,IG
120.32502339991066,0.092,IG
118.13851062145655,0.094,IG
115.59205250410068,0.096,IG
113.48291959418557,0.098,IG
111.55312638585585,0.1,IG
109.76587939542412,0.10200000000000001,IG
108.02887829448005,0.10400000000000001,IG
106.21605037841869,0.106,IG
104.43141793519058,0.108,IG
102.72616087693018,0.11,IG
101.0303404795272,0.112,IG
99.34205416916937,0.114,IG
97.74558979284194,0.116,IG
96.1918590433598,0.11800000000000001,IG
94.70182247836473,0.12,IG
93.23161703660278,0.122,IG
91.82632345666444,0.124,IG
90.45378171962716,0.126,IG
89.13013964936775,0.128,IG
87.82832982955537,0.13,IG
86.53038036727163,0.132,IG
85.25236440373047,0.134,IG
84.02710414450026,0.136,IG
82.84169289619823,0.138,IG
81.69489364968535,0.14,IG
80.60585421711166,0.14200000000000002,IG
79.55511398482193,0.14400000000000002,IG
78.53662294510572,0.146,IG
77.53896000822733,0.148,IG
76.59132639883211,0.15,IG
75.6543728687058,0.152,IG
74.72980953931297,0.154,IG
73.81988465202188,0.156,IG
72.91245990465043,0.158,IG
72.03439012369178,0.16,IG
71.16580128548641,0.162,IG
70.30739735339183,0.164,IG
69.48689359858176,0.166,IG
68.69660669479813,0.168,IG
67.94211002452158,0.17,IG
67.20637380931201,0.17200000000000001,IG
66.49386288220641,0.17400000000000002,IG
65.80544805605231,0.176,IG
65.14303844660289,0.178,IG
64.48368373727628,0.18,IG
63.849674127713435,0.182,IG
63.21899176756023,0.184,IG
62.59219324239791,0.186,IG
61.9851857849661,0.188,IG
61.39526595629224,0.19,IG
60.81898055731791,0.192,IG
60.25231913976384,0.194,IG
59.68578997668072,0.196,IG
59.12559189402795,0.198,IG
58.58137040229786,0.2,IG
58.041933162630436,0.202,IG
57.50992181807796,0.20400000000000001,IG
56.990960842531734,0.20600000000000002,IG
56.479227008451964,0.20800000000000002,IG
55.96988592177609,0.21,IG
55.460407679410025,0.212,IG
54.95316999771215,0.214,IG
54.45210866036981,0.216,IG
53.96232030807801,0.218,IG
53.4950794609466,0.22,IG
53.03386542325297,0.222,IG
52.58277245206664,0.224,IG
52.14355809131087,0.226,IG
51.71337398895976,0.228,IG
51.29381194251011,0.23,IG
50.878301738202815,0.232,IG
50.467514398666516,0.234,IG
50.05930702384961,0.23600000000000002,IG
49.65391581117529,0.23800000000000002,IG
49.25256348686778,0.24,IG
48.85587465894199,0.242,IG
48.46576508387373,0.244,IG
48.0874960475363,0.246,IG
47.71366282733939,0.248,IG
47.34028472632416,0.25,IG
46.97795065656388,0.252,IG
46.624141796010974,0.254,IG
46.277142258979126,0.256,IG
45.94024983193434,0.258,IG
45.60940506612776,0.26,IG
45.279348956283876,0.262,IG
44.95350538436986,0.264,IG
44.6306673334852,0.266,IG
44.30787798969407,0.268,IG
43.99150506213512,0.27,IG
43.67806309543884,0.272,IG
43.3699291467093,0.274,IG
43.067589284126754,0.276,IG
42.77212978650564,0.278,IG
42.47902324589955,0.28,IG
42.18946670172939,0.28200000000000003,IG
41.90321128385732,0.28400000000000003,IG
41.62273116566082,0.28600000000000003,IG
41.34566962834636,0.28800000000000003,IG
41.07421155983567,0.29,IG
40.80648173861188,0.292,IG
40.53949530092139,0.294,IG
40.27776498423812,0.296,IG
40.020061312034585,0.298,IG
39.76348389051612,0.3,IG
39.509699813769124,0.302,IG
39.25849245048248,0.304,IG
39.00944319875896,0.306,IG
38.765816566609004,0.308,IG
38.52270528971345,0.31,IG
38.28036796155985,0.312,IG
38.04080034194891,0.314,IG
37.80234695842128,0.316,IG
37.56813092591029,0.318,IG
37.33697004118617,0.32,IG
37.10773477639365,0.322,IG
36.88219675086757,0.324,IG
36.66095173885861,0.326,IG
36.44212320334801,0.328,IG
36.225228232229355,0.33,IG
36.0102262155082,0.332,IG
35.79734610079464,0.334,IG
35.58724942891,0.336,IG
35.37887400087818,0.338,IG
35.17063900856969,0.34,IG
34.96525909853343,0.342,IG
34.7641207087111,0.34400000000000003,IG
34.56467548009636,0.34600000000000003,IG
34.366647864601426,0.34800000000000003,IG
34.171258575419174,0.35000000000000003,IG
33.9776635729124,0.352,IG
33.785859702123645,0.354,IG
33.59503061791627,0.356,IG
33.40591362173251,0.358,IG
33.219475272830266,0.36,IG
33.034568489596204,0.362,IG
32.85227837594276,0.364,IG
32.671716762449144,0.366,IG
32.49216829210006,0.368,IG
32.31316401939856,0.37,IG
32.135720306292576,0.372,IG
31.95999919313363,0.374,IG
31.785113131672016,0.376,IG
31.612740123062903,0.378,IG
31.440710434716507,0.38,IG
31.271867888050146,0.382,IG
31.104912985202944,0.384,IG
30.939326212408925,0.386,IG
30.774500846077736,0.388,IG
30.61185398898324,0.39,IG
30.450617589648527,0.392,IG
30.292903467258917,0.394,IG
30.13517361515888,0.396,IG
29.978960783145578,0.398,IG
29.82588113292344,0.4,IG
29.674870324655302,0.402,IG
29.524420289773804,0.404,IG
29.375242796445818,0.406,IG
29.227829124833214,0.40800000000000003,IG
29.082341174453234,0.41000000000000003,IG
28.937701029665494,0.41200000000000003,IG
28.793716379779543,0.41400000000000003,IG
28.651256490433813,0.41600000000000004,IG
28.509174000258366,0.418,IG
28.368452260178053,0.42,IG
28.228976475009024,0.422,IG
28.090549272576094,0.424,IG
27.953854838852244,0.426,IG
27.818518113937667,0.428,IG
27.685250610684108,0.43,IG
27.55303154027718,0.432,IG
27.42217710905972,0.434,IG
27.29332471652582,0.436,IG
27.165222825656436,0.438,IG
27.037440572815154,0.44,IG
26.911199480598235,0.442,IG
26.7868511832916,0.444,IG
26.663304595885577,0.446,IG
26.539378935841388,0.448,IG
26.41629349525418,0.45,IG
26.294821952294114,0.452,IG
26.17428064397836,0.454,IG
26.054427286063497,0.456,IG
25.93622275978413,0.458,IG
25.818810814019795,0.46,IG
25.702285975149834,0.462,IG
25.587540475679926,0.464,IG
25.472385884439866,0.466,IG
25.35724046560158,0.468,IG
25.243111752286453,0.47000000000000003,IG
25.131287326293727,0.47200000000000003,IG
25.0200460834793,0.47400000000000003,IG
24.909107836448886,0.47600000000000003,IG
24.798678886454894,0.47800000000000004,IG
24.68972582632033,0.48,IG
24.582155937633864,0.482,IG
24.474689701047627,0.484,IG
24.368397687303116,0.486,IG
24.262917339520925,0.488,IG
24.158308927235137,0.49,IG
24.05488076096905,0.492,IG
23.951867171581352,0.494,IG
23.849670301078923,0.496,IG
23.748787191977552,0.498,IG
23.649380417068357,0.5,IG
23.550908245105,0.502,IG
23.45394351952021,0.504,IG
23.35750228318874,0.506,IG
23.26261984853934,0.508,IG
23.16900439594509,0.51,IG
23.076110239231642,0.512,IG
22.983841045999917,0.514,IG
22.892110574229786,0.516,IG
22.800665289842943,0.518,IG
22.709470185398647,0.52,IG
22.618340440796818,0.522,IG
22.52848081895096,0.524,IG
22.43972265162993,0.526,IG
22.35156199214537,0.528,IG
22.263310558562726,0.53,IG
22.175763993837347,0.532,IG
22.088902674312937,0.534,IG
22.003017430254385,0.536,IG
21.917750673012854,0.538,IG
21.83311866806717,0.54,IG
21.748920536842867,0.542,IG
21.665323938019114,0.544,IG
21.58285237100896,0.546,IG
21.501236986056263,0.548,IG
21.420622485599427,0.55,IG
21.341090488056068,0.552,IG
21.262448170165783,0.554,IG
21.184629151538967,0.556,IG
21.106805128681643,0.558,IG
21.02945550062882,0.56,IG
20.952561671620064,0.562,IG
20.876130592521,0.5640000000000001,IG
20.80049200943547,0.5660000000000001,IG
20.725595272865064,0.5680000000000001,IG
20.65114906469644,0.5700000000000001,IG
20.577159255957525,0.5720000000000001,IG
20.50387413225977,0.5740000000000001,IG
20.43135209410667,0.5760000000000001,IG
20.359282231244862,0.578,IG
20.287993672936864,0.58,IG
20.216996801130097,0.582,IG
20.14675302625966,0.584,IG
20.076479073729683,0.586,IG
20.006490850371375,0.588,IG
19.937208629129913,0.59,IG
19.86803616282975,0.592,IG
19.799309183092195,0.594,IG
19.731101235661043,0.596,IG
19.66322607154546,0.598,IG
