cumulative_sum,alpha,method
0.07332243553734263,0.0,IG
-1.5247916177925485,0.02,IG
-1.2448544836231206,0.04,IG
-0.6477089423633455,0.06,IG
-0.30498561657627316,0.08,IG
-0.15180940938541806,0.1,IG
0.41534497581821994,0.12,IG
0.5032513395259111,0.14,IG
0.5361685085679355,0.16,IG
0.5792051787309342,0.18,IG
0.5701972471975271,0.2,IG
0.8287835520867968,0.22,IG
0.5297539495900138,0.24,IG
0.28174332095266214,0.26,IG
0.19675607697895478,0.28,IG
0.07555907986458502,0.3,IG
-0.00838953448902642,0.32,IG
0.7813603265957949,0.34,IG
4.44181434022557,0.36,IG
7.71125471009032,0.38,IG
9.794643922188598,0.4,IG
11.691941850896548,0.42,IG
12.644279824558549,0.44,IG
13.134986062787911,0.46,IG
13.23326153864414,0.48,IG
13.3507630443897,0.5,IG
13.250415897492722,0.52,IG
12.861147374349413,0.54,IG
12.328438726468057,0.56,IG
12.108213605587377,0.58,IG
11.829206249099162,0.6,IG
11.758920271968343,0.62,IG
11.83517652228839,0.64,IG
11.697691474424412,0.66,IG
11.838077201065532,0.68,IG
11.819364551241167,0.7,IG
11.793308067000574,0.72,IG
11.79060404395454,0.74,IG
11.721780917107454,0.76,IG
11.663192778854242,0.78,IG
11.689174715397234,0.8,IG
11.521362865676211,0.82,IG
11.278045523577703,0.84,IG
11.044523811693688,0.86,IG
10.772267765195817,0.88,IG
10.620955654580737,0.9,IG
10.292063924645513,0.92,IG
10.019571750414618,0.94,IG
9.823651262493833,0.96,IG
9.68623880847297,0.98,IG
9.52497322368245,1.0,IG
9.778973579406738,0.0,Target
9.778973579406738,0.02,Target
9.778973579406738,0.04,Target
9.778973579406738,0.06,Target
9.778973579406738,0.08,Target
9.778973579406738,0.1,Target
9.778973579406738,0.12,Target
9.778973579406738,0.14,Target
9.778973579406738,0.16,Target
9.778973579406738,0.18,Target
9.778973579406738,0.2,Target
9.778973579406738,0.22,Target
9.778973579406738,0.24,Target
9.778973579406738,0.26,Target
9.778973579406738,0.28,Target
9.778973579406738,0.3,Target
9.778973579406738,0.32,Target
9.778973579406738,0.34,Target
9.778973579406738,0.36,Target
9.778973579406738,0.38,Target
9.778973579406738,0.4,Target
9.778973579406738,0.42,Target
9.778973579406738,0.44,Target
9.778973579406738,0.46,Target
9.778973579406738,0.48,Target
9.778973579406738,0.5,Target
9.778973579406738,0.52,Target
9.778973579406738,0.54,Target
9.778973579406738,0.56,Target
9.778973579406738,0.58,Target
9.778973579406738,0.6,Target
9.778973579406738,0.62,Target
9.778973579406738,0.64,Target
9.778973579406738,0.66,Target
9.778973579406738,0.68,Target
9.778973579406738,0.7,Target
9.778973579406738,0.72,Target
9.778973579406738,0.74,Target
9.778973579406738,0.76,Target
9.778973579406738,0.78,Target
9.778973579406738,0.8,Target
9.778973579406738,0.82,Target
9.778973579406738,0.84,Target
9.778973579406738,0.86,Target
9.778973579406738,0.88,Target
9.778973579406738,0.9,Target
9.778973579406738,0.92,Target
9.778973579406738,0.94,Target
9.778973579406738,0.96,Target
9.778973579406738,0.98,Target
9.778973579406738,1.0,Target
