cumulative_sum,alpha,method
2.9957101823923615,0.0,IG
37.02618571547964,0.02,IG
38.37887840036155,0.04,IG
25.577954154092822,0.06,IG
19.94862450674281,0.08,IG
16.038211763756106,0.1,IG
13.180668097316685,0.12,IG
11.697714555191851,0.14,IG
10.755395143260099,0.16,IG
9.935201091179255,0.18,IG
9.196584125405602,0.2,IG
8.443510259438728,0.22,IG
7.785071791523264,0.24,IG
7.17793685238108,0.26,IG
6.634318780142592,0.28,IG
6.273590432416654,0.3,IG
5.982346691520968,0.32,IG
5.714993902517463,0.34,IG
5.446110068623199,0.36,IG
5.194996775985056,0.38,IG
4.981684776118658,0.4,IG
4.780576244441034,0.42,IG
4.612495707533285,0.44,IG
4.466394868191629,0.46,IG
4.334507459113516,0.48,IG
4.19933057198334,0.5,IG
4.059435356840537,0.52,IG
3.942414718052954,0.54,IG
3.8369943436088034,0.56,IG
3.7235491828332035,0.58,IG
3.6227147753310307,0.6,IG
3.5266694980207944,0.62,IG
3.4297433266294153,0.64,IG
3.3397983074768334,0.66,IG
3.2597024019895953,0.68,IG
3.183405831548346,0.7,IG
3.1098482297893475,0.72,IG
3.036894852480477,0.74,IG
2.9721245979791107,0.76,IG
2.908987806513144,0.78,IG
2.84714351969142,0.8,IG
2.7876411033915556,0.82,IG
2.72893584071032,0.84,IG
2.672756971988501,0.86,IG
2.6192029354447084,0.88,IG
2.5640245344105534,0.9,IG
2.5128937372772158,0.92,IG
2.4651091106481235,0.94,IG
2.4215884585175464,0.96,IG
2.3822233810446423,0.98,IG
2.3383281477453437,1.0,IG
10.97654914855957,0.0,Target
10.97654914855957,0.02,Target
10.97654914855957,0.04,Target
10.97654914855957,0.06,Target
10.97654914855957,0.08,Target
10.97654914855957,0.1,Target
10.97654914855957,0.12,Target
10.97654914855957,0.14,Target
10.97654914855957,0.16,Target
10.97654914855957,0.18,Target
10.97654914855957,0.2,Target
10.97654914855957,0.22,Target
10.97654914855957,0.24,Target
10.97654914855957,0.26,Target
10.97654914855957,0.28,Target
10.97654914855957,0.3,Target
10.97654914855957,0.32,Target
10.97654914855957,0.34,Target
10.97654914855957,0.36,Target
10.97654914855957,0.38,Target
10.97654914855957,0.4,Target
10.97654914855957,0.42,Target
10.97654914855957,0.44,Target
10.97654914855957,0.46,Target
10.97654914855957,0.48,Target
10.97654914855957,0.5,Target
10.97654914855957,0.52,Target
10.97654914855957,0.54,Target
10.97654914855957,0.56,Target
10.97654914855957,0.58,Target
10.97654914855957,0.6,Target
10.97654914855957,0.62,Target
10.97654914855957,0.64,Target
10.97654914855957,0.66,Target
10.97654914855957,0.68,Target
10.97654914855957,0.7,Target
10.97654914855957,0.72,Target
10.97654914855957,0.74,Target
10.97654914855957,0.76,Target
10.97654914855957,0.78,Target
10.97654914855957,0.8,Target
10.97654914855957,0.82,Target
10.97654914855957,0.84,Target
10.97654914855957,0.86,Target
10.97654914855957,0.88,Target
10.97654914855957,0.9,Target
10.97654914855957,0.92,Target
10.97654914855957,0.94,Target
10.97654914855957,0.96,Target
10.97654914855957,0.98,Target
10.97654914855957,1.0,Target
